subject_id,subject_name,subject_category,grade_level,education_type,subject_description,total_students_enrolled_subject,total_tutors_offering_subject,last_updated
SUB00023,Translation & Linguistics,Language & Literature,1,Saudi National (MOE),Translation & Linguistics for Grade 1 in the Saudi National (MOE) curriculum.,251,24,2025-11-16
SUB00024,Islamic Arabic,Language & Literature,1,Saudi National (MOE),Islamic Arabic for Grade 1 in the Saudi National (MOE) curriculum.,76,9,2025-11-16
SUB00025,History,Humanities & Social Sciences,1,Saudi National (MOE),History for Grade 1 in the Saudi National (MOE) curriculum.,246,7,2025-11-16
SUB00026,Geography,Humanities & Social Sciences,1,Saudi National (MOE),Geography for Grade 1 in the Saudi National (MOE) curriculum.,292,68,2025-11-16
SUB00027,Economics,Humanities & Social Sciences,1,Saudi National (MOE),Economics for Grade 1 in the Saudi National (MOE) curriculum.,518,71,2025-11-16
SUB00028,Civics,Humanities & Social Sciences,1,Saudi National (MOE),Civics for Grade 1 in the Saudi National (MOE) curriculum.,562,41,2025-11-16
SUB00029,Political Science,Humanities & Social Sciences,1,Saudi National (MOE),Political Science for Grade 1 in the Saudi National (MOE) curriculum.,489,35,2025-11-16
SUB00030,Sociology,Humanities & Social Sciences,1,Saudi National (MOE),Sociology for Grade 1 in the Saudi National (MOE) curriculum.,467,12,2025-11-16
SUB00031,Psychology,Humanities & Social Sciences,1,Saudi National (MOE),Psychology for Grade 1 in the Saudi National (MOE) curriculum.,107,56,2025-11-16
SUB00032,Philosophy,Humanities & Social Sciences,1,Saudi National (MOE),Philosophy for Grade 1 in the Saudi National (MOE) curriculum.,174,37,2025-11-16
SUB00033,Law,Humanities & Social Sciences,1,Saudi National (MOE),Law for Grade 1 in the Saudi National (MOE) curriculum.,222,54,2025-11-16
SUB00034,Religious Studies,Humanities & Social Sciences,1,Saudi National (MOE),Religious Studies for Grade 1 in the Saudi National (MOE) curriculum.,196,48,2025-11-16
SUB00035,Islamic Studies,Humanities & Social Sciences,1,Saudi National (MOE),Islamic Studies for Grade 1 in the Saudi National (MOE) curriculum.,329,27,2025-11-16
SUB00036,Art,Arts & Design,1,Saudi National (MOE),Art for Grade 1 in the Saudi National (MOE) curriculum.,126,64,2025-11-16
SUB00037,Music,Arts & Design,1,Saudi National (MOE),Music for Grade 1 in the Saudi National (MOE) curriculum.,164,33,2025-11-16
SUB00038,Drama,Arts & Design,1,Saudi National (MOE),Drama for Grade 1 in the Saudi National (MOE) curriculum.,255,46,2025-11-16
SUB00039,Film Studies,Arts & Design,1,Saudi National (MOE),Film Studies for Grade 1 in the Saudi National (MOE) curriculum.,206,3,2025-11-16
SUB00040,Design & Technology,Arts & Design,1,Saudi National (MOE),Design & Technology for Grade 1 in the Saudi National (MOE) curriculum.,57,27,2025-11-16
SUB00041,Architecture,Arts & Design,1,Saudi National (MOE),Architecture for Grade 1 in the Saudi National (MOE) curriculum.,213,61,2025-11-16
SUB00042,Calligraphy,Arts & Design,1,Saudi National (MOE),Calligraphy for Grade 1 in the Saudi National (MOE) curriculum.,319,23,2025-11-16
SUB00043,Fashion Design,Arts & Design,1,Saudi National (MOE),Fashion Design for Grade 1 in the Saudi National (MOE) curriculum.,305,34,2025-11-16
SUB00044,Home Economics,Arts & Design,1,Saudi National (MOE),Home Economics for Grade 1 in the Saudi National (MOE) curriculum.,185,24,2025-11-16
SUB00045,Physical Education,Physical & Health,1,Saudi National (MOE),Physical Education for Grade 1 in the Saudi National (MOE) curriculum.,358,58,2025-11-16
SUB00046,Health Education,Physical & Health,1,Saudi National (MOE),Health Education for Grade 1 in the Saudi National (MOE) curriculum.,317,19,2025-11-16
SUB00047,Nutrition & Fitness,Physical & Health,1,Saudi National (MOE),Nutrition & Fitness for Grade 1 in the Saudi National (MOE) curriculum.,194,12,2025-11-16
SUB00048,Sports Science,Physical & Health,1,Saudi National (MOE),Sports Science for Grade 1 in the Saudi National (MOE) curriculum.,233,64,2025-11-16
SUB00049,First Aid & Public Safety,Physical & Health,1,Saudi National (MOE),First Aid & Public Safety for Grade 1 in the Saudi National (MOE) curriculum.,572,10,2025-11-16
SUB00050,Automotive Mechanics,Vocational & Technical,1,Saudi National (MOE),Automotive Mechanics for Grade 1 in the Saudi National (MOE) curriculum.,90,3,2025-11-16
SUB00051,Electrical Studies,Vocational & Technical,1,Saudi National (MOE),Electrical Studies for Grade 1 in the Saudi National (MOE) curriculum.,586,56,2025-11-16
SUB00052,Carpentry,Vocational & Technical,1,Saudi National (MOE),Carpentry for Grade 1 in the Saudi National (MOE) curriculum.,583,57,2025-11-16
SUB00053,Plumbing,Vocational & Technical,1,Saudi National (MOE),Plumbing for Grade 1 in the Saudi National (MOE) curriculum.,173,6,2025-11-16
SUB00054,Hospitality,Vocational & Technical,1,Saudi National (MOE),Hospitality for Grade 1 in the Saudi National (MOE) curriculum.,68,80,2025-11-16
SUB00055,Entrepreneurship,Vocational & Technical,1,Saudi National (MOE),Entrepreneurship for Grade 1 in the Saudi National (MOE) curriculum.,573,35,2025-11-16
SUB00056,Marketing,Vocational & Technical,1,Saudi National (MOE),Marketing for Grade 1 in the Saudi National (MOE) curriculum.,572,24,2025-11-16
SUB00057,Accounting,Vocational & Technical,1,Saudi National (MOE),Accounting for Grade 1 in the Saudi National (MOE) curriculum.,568,60,2025-11-16
SUB00058,Agriculture,Vocational & Technical,1,Saudi National (MOE),Agriculture for Grade 1 in the Saudi National (MOE) curriculum.,413,57,2025-11-16
SUB00059,Mathematics,STEM,2,Saudi National (MOE),Mathematics for Grade 2 in the Saudi National (MOE) curriculum.,512,38,2025-11-16
SUB00060,Advanced Mathematics,STEM,2,Saudi National (MOE),Advanced Mathematics for Grade 2 in the Saudi National (MOE) curriculum.,147,9,2025-11-16
SUB00061,Physics,STEM,2,Saudi National (MOE),Physics for Grade 2 in the Saudi National (MOE) curriculum.,328,13,2025-11-16
SUB00062,Chemistry,STEM,2,Saudi National (MOE),Chemistry for Grade 2 in the Saudi National (MOE) curriculum.,340,48,2025-11-16
SUB00063,Biology,STEM,2,Saudi National (MOE),Biology for Grade 2 in the Saudi National (MOE) curriculum.,561,57,2025-11-16
SUB00064,Computer Science,STEM,2,Saudi National (MOE),Computer Science for Grade 2 in the Saudi National (MOE) curriculum.,576,36,2025-11-16
SUB00065,Statistics,STEM,2,Saudi National (MOE),Statistics for Grade 2 in the Saudi National (MOE) curriculum.,175,4,2025-11-16
SUB00066,Robotics,STEM,2,Saudi National (MOE),Robotics for Grade 2 in the Saudi National (MOE) curriculum.,293,6,2025-11-16
SUB00067,Engineering Fundamentals,STEM,2,Saudi National (MOE),Engineering Fundamentals for Grade 2 in the Saudi National (MOE) curriculum.,367,76,2025-11-16
SUB00068,Environmental Science,STEM,2,Saudi National (MOE),Environmental Science for Grade 2 in the Saudi National (MOE) curriculum.,563,76,2025-11-16
SUB00069,Earth Science,STEM,2,Saudi National (MOE),Earth Science for Grade 2 in the Saudi National (MOE) curriculum.,118,17,2025-11-16
SUB00070,Agriculture Technology,STEM,2,Saudi National (MOE),Agriculture Technology for Grade 2 in the Saudi National (MOE) curriculum.,207,35,2025-11-16
SUB00071,Technical Drawing,STEM,2,Saudi National (MOE),Technical Drawing for Grade 2 in the Saudi National (MOE) curriculum.,171,51,2025-11-16
SUB00072,Arabic,Language & Literature,2,Saudi National (MOE),Arabic for Grade 2 in the Saudi National (MOE) curriculum.,180,20,2025-11-16
SUB00073,English,Language & Literature,2,Saudi National (MOE),English for Grade 2 in the Saudi National (MOE) curriculum.,409,27,2025-11-16
SUB00074,French,Language & Literature,2,Saudi National (MOE),French for Grade 2 in the Saudi National (MOE) curriculum.,219,16,2025-11-16
SUB00075,Spanish,Language & Literature,2,Saudi National (MOE),Spanish for Grade 2 in the Saudi National (MOE) curriculum.,287,73,2025-11-16
SUB00076,German,Language & Literature,2,Saudi National (MOE),German for Grade 2 in the Saudi National (MOE) curriculum.,71,77,2025-11-16
SUB00077,Urdu,Language & Literature,2,Saudi National (MOE),Urdu for Grade 2 in the Saudi National (MOE) curriculum.,81,55,2025-11-16
SUB00078,Hindi,Language & Literature,2,Saudi National (MOE),Hindi for Grade 2 in the Saudi National (MOE) curriculum.,105,21,2025-11-16
SUB00079,Literature,Language & Literature,2,Saudi National (MOE),Literature for Grade 2 in the Saudi National (MOE) curriculum.,284,19,2025-11-16
SUB00080,Creative Writing,Language & Literature,2,Saudi National (MOE),Creative Writing for Grade 2 in the Saudi National (MOE) curriculum.,391,63,2025-11-16
SUB00081,Translation & Linguistics,Language & Literature,2,Saudi National (MOE),Translation & Linguistics for Grade 2 in the Saudi National (MOE) curriculum.,375,41,2025-11-16
SUB00082,Islamic Arabic,Language & Literature,2,Saudi National (MOE),Islamic Arabic for Grade 2 in the Saudi National (MOE) curriculum.,51,47,2025-11-16
SUB00083,History,Humanities & Social Sciences,2,Saudi National (MOE),History for Grade 2 in the Saudi National (MOE) curriculum.,475,47,2025-11-16
SUB00084,Geography,Humanities & Social Sciences,2,Saudi National (MOE),Geography for Grade 2 in the Saudi National (MOE) curriculum.,308,29,2025-11-16
SUB00085,Economics,Humanities & Social Sciences,2,Saudi National (MOE),Economics for Grade 2 in the Saudi National (MOE) curriculum.,354,23,2025-11-16
SUB00086,Civics,Humanities & Social Sciences,2,Saudi National (MOE),Civics for Grade 2 in the Saudi National (MOE) curriculum.,184,8,2025-11-16
SUB00087,Political Science,Humanities & Social Sciences,2,Saudi National (MOE),Political Science for Grade 2 in the Saudi National (MOE) curriculum.,419,34,2025-11-16
SUB00088,Sociology,Humanities & Social Sciences,2,Saudi National (MOE),Sociology for Grade 2 in the Saudi National (MOE) curriculum.,323,52,2025-11-16
SUB00089,Psychology,Humanities & Social Sciences,2,Saudi National (MOE),Psychology for Grade 2 in the Saudi National (MOE) curriculum.,291,19,2025-11-16
SUB00090,Philosophy,Humanities & Social Sciences,2,Saudi National (MOE),Philosophy for Grade 2 in the Saudi National (MOE) curriculum.,133,61,2025-11-16
SUB00091,Law,Humanities & Social Sciences,2,Saudi National (MOE),Law for Grade 2 in the Saudi National (MOE) curriculum.,356,49,2025-11-16
SUB00092,Religious Studies,Humanities & Social Sciences,2,Saudi National (MOE),Religious Studies for Grade 2 in the Saudi National (MOE) curriculum.,125,31,2025-11-16
SUB00093,Islamic Studies,Humanities & Social Sciences,2,Saudi National (MOE),Islamic Studies for Grade 2 in the Saudi National (MOE) curriculum.,168,52,2025-11-16
SUB00094,Art,Arts & Design,2,Saudi National (MOE),Art for Grade 2 in the Saudi National (MOE) curriculum.,524,10,2025-11-16
SUB00095,Music,Arts & Design,2,Saudi National (MOE),Music for Grade 2 in the Saudi National (MOE) curriculum.,432,50,2025-11-16
SUB00096,Drama,Arts & Design,2,Saudi National (MOE),Drama for Grade 2 in the Saudi National (MOE) curriculum.,337,77,2025-11-16
SUB00097,Film Studies,Arts & Design,2,Saudi National (MOE),Film Studies for Grade 2 in the Saudi National (MOE) curriculum.,328,44,2025-11-16
SUB00098,Design & Technology,Arts & Design,2,Saudi National (MOE),Design & Technology for Grade 2 in the Saudi National (MOE) curriculum.,82,33,2025-11-16
SUB00099,Architecture,Arts & Design,2,Saudi National (MOE),Architecture for Grade 2 in the Saudi National (MOE) curriculum.,213,31,2025-11-16
SUB00100,Calligraphy,Arts & Design,2,Saudi National (MOE),Calligraphy for Grade 2 in the Saudi National (MOE) curriculum.,598,9,2025-11-16
SUB00101,Fashion Design,Arts & Design,2,Saudi National (MOE),Fashion Design for Grade 2 in the Saudi National (MOE) curriculum.,453,70,2025-11-16
SUB00102,Home Economics,Arts & Design,2,Saudi National (MOE),Home Economics for Grade 2 in the Saudi National (MOE) curriculum.,415,23,2025-11-16
SUB00103,Physical Education,Physical & Health,2,Saudi National (MOE),Physical Education for Grade 2 in the Saudi National (MOE) curriculum.,534,37,2025-11-16
SUB00104,Health Education,Physical & Health,2,Saudi National (MOE),Health Education for Grade 2 in the Saudi National (MOE) curriculum.,501,41,2025-11-16
SUB00105,Nutrition & Fitness,Physical & Health,2,Saudi National (MOE),Nutrition & Fitness for Grade 2 in the Saudi National (MOE) curriculum.,166,70,2025-11-16
SUB00106,Sports Science,Physical & Health,2,Saudi National (MOE),Sports Science for Grade 2 in the Saudi National (MOE) curriculum.,273,33,2025-11-16
SUB00107,First Aid & Public Safety,Physical & Health,2,Saudi National (MOE),First Aid & Public Safety for Grade 2 in the Saudi National (MOE) curriculum.,500,69,2025-11-16
SUB00108,Automotive Mechanics,Vocational & Technical,2,Saudi National (MOE),Automotive Mechanics for Grade 2 in the Saudi National (MOE) curriculum.,187,6,2025-11-16
SUB00109,Electrical Studies,Vocational & Technical,2,Saudi National (MOE),Electrical Studies for Grade 2 in the Saudi National (MOE) curriculum.,105,67,2025-11-16
SUB00110,Carpentry,Vocational & Technical,2,Saudi National (MOE),Carpentry for Grade 2 in the Saudi National (MOE) curriculum.,514,10,2025-11-16
SUB00111,Plumbing,Vocational & Technical,2,Saudi National (MOE),Plumbing for Grade 2 in the Saudi National (MOE) curriculum.,250,15,2025-11-16
SUB00112,Hospitality,Vocational & Technical,2,Saudi National (MOE),Hospitality for Grade 2 in the Saudi National (MOE) curriculum.,281,47,2025-11-16
SUB00113,Entrepreneurship,Vocational & Technical,2,Saudi National (MOE),Entrepreneurship for Grade 2 in the Saudi National (MOE) curriculum.,62,30,2025-11-16
SUB00114,Marketing,Vocational & Technical,2,Saudi National (MOE),Marketing for Grade 2 in the Saudi National (MOE) curriculum.,107,56,2025-11-16
SUB00115,Accounting,Vocational & Technical,2,Saudi National (MOE),Accounting for Grade 2 in the Saudi National (MOE) curriculum.,467,67,2025-11-16
SUB00116,Agriculture,Vocational & Technical,2,Saudi National (MOE),Agriculture for Grade 2 in the Saudi National (MOE) curriculum.,416,64,2025-11-16
SUB00117,Mathematics,STEM,3,Saudi National (MOE),Mathematics for Grade 3 in the Saudi National (MOE) curriculum.,171,12,2025-11-16
SUB00118,Advanced Mathematics,STEM,3,Saudi National (MOE),Advanced Mathematics for Grade 3 in the Saudi National (MOE) curriculum.,227,68,2025-11-16
SUB00119,Physics,STEM,3,Saudi National (MOE),Physics for Grade 3 in the Saudi National (MOE) curriculum.,263,4,2025-11-16
SUB00120,Chemistry,STEM,3,Saudi National (MOE),Chemistry for Grade 3 in the Saudi National (MOE) curriculum.,382,42,2025-11-16
SUB00121,Biology,STEM,3,Saudi National (MOE),Biology for Grade 3 in the Saudi National (MOE) curriculum.,399,34,2025-11-16
SUB00122,Computer Science,STEM,3,Saudi National (MOE),Computer Science for Grade 3 in the Saudi National (MOE) curriculum.,340,13,2025-11-16
SUB00123,Statistics,STEM,3,Saudi National (MOE),Statistics for Grade 3 in the Saudi National (MOE) curriculum.,368,43,2025-11-16
SUB00124,Robotics,STEM,3,Saudi National (MOE),Robotics for Grade 3 in the Saudi National (MOE) curriculum.,317,30,2025-11-16
SUB00125,Engineering Fundamentals,STEM,3,Saudi National (MOE),Engineering Fundamentals for Grade 3 in the Saudi National (MOE) curriculum.,270,66,2025-11-16
SUB00126,Environmental Science,STEM,3,Saudi National (MOE),Environmental Science for Grade 3 in the Saudi National (MOE) curriculum.,437,69,2025-11-16
SUB00127,Earth Science,STEM,3,Saudi National (MOE),Earth Science for Grade 3 in the Saudi National (MOE) curriculum.,419,43,2025-11-16
SUB00128,Agriculture Technology,STEM,3,Saudi National (MOE),Agriculture Technology for Grade 3 in the Saudi National (MOE) curriculum.,279,63,2025-11-16
SUB00129,Technical Drawing,STEM,3,Saudi National (MOE),Technical Drawing for Grade 3 in the Saudi National (MOE) curriculum.,444,47,2025-11-16
SUB00130,Arabic,Language & Literature,3,Saudi National (MOE),Arabic for Grade 3 in the Saudi National (MOE) curriculum.,368,34,2025-11-16
SUB00131,English,Language & Literature,3,Saudi National (MOE),English for Grade 3 in the Saudi National (MOE) curriculum.,600,25,2025-11-16
SUB00132,French,Language & Literature,3,Saudi National (MOE),French for Grade 3 in the Saudi National (MOE) curriculum.,354,47,2025-11-16
SUB00133,Spanish,Language & Literature,3,Saudi National (MOE),Spanish for Grade 3 in the Saudi National (MOE) curriculum.,349,30,2025-11-16
SUB00134,German,Language & Literature,3,Saudi National (MOE),German for Grade 3 in the Saudi National (MOE) curriculum.,372,13,2025-11-16
SUB00135,Urdu,Language & Literature,3,Saudi National (MOE),Urdu for Grade 3 in the Saudi National (MOE) curriculum.,430,44,2025-11-16
SUB00136,Hindi,Language & Literature,3,Saudi National (MOE),Hindi for Grade 3 in the Saudi National (MOE) curriculum.,304,79,2025-11-16
SUB00137,Literature,Language & Literature,3,Saudi National (MOE),Literature for Grade 3 in the Saudi National (MOE) curriculum.,275,16,2025-11-16
SUB00138,Creative Writing,Language & Literature,3,Saudi National (MOE),Creative Writing for Grade 3 in the Saudi National (MOE) curriculum.,538,58,2025-11-16
SUB00139,Translation & Linguistics,Language & Literature,3,Saudi National (MOE),Translation & Linguistics for Grade 3 in the Saudi National (MOE) curriculum.,356,79,2025-11-16
SUB00140,Islamic Arabic,Language & Literature,3,Saudi National (MOE),Islamic Arabic for Grade 3 in the Saudi National (MOE) curriculum.,588,34,2025-11-16
SUB00141,History,Humanities & Social Sciences,3,Saudi National (MOE),History for Grade 3 in the Saudi National (MOE) curriculum.,556,61,2025-11-16
SUB00142,Geography,Humanities & Social Sciences,3,Saudi National (MOE),Geography for Grade 3 in the Saudi National (MOE) curriculum.,283,46,2025-11-16
SUB00143,Economics,Humanities & Social Sciences,3,Saudi National (MOE),Economics for Grade 3 in the Saudi National (MOE) curriculum.,77,15,2025-11-16
SUB00144,Civics,Humanities & Social Sciences,3,Saudi National (MOE),Civics for Grade 3 in the Saudi National (MOE) curriculum.,342,49,2025-11-16
SUB00145,Political Science,Humanities & Social Sciences,3,Saudi National (MOE),Political Science for Grade 3 in the Saudi National (MOE) curriculum.,99,20,2025-11-16
SUB00146,Sociology,Humanities & Social Sciences,3,Saudi National (MOE),Sociology for Grade 3 in the Saudi National (MOE) curriculum.,323,38,2025-11-16
SUB00147,Psychology,Humanities & Social Sciences,3,Saudi National (MOE),Psychology for Grade 3 in the Saudi National (MOE) curriculum.,585,50,2025-11-16
SUB00148,Philosophy,Humanities & Social Sciences,3,Saudi National (MOE),Philosophy for Grade 3 in the Saudi National (MOE) curriculum.,442,66,2025-11-16
SUB00149,Law,Humanities & Social Sciences,3,Saudi National (MOE),Law for Grade 3 in the Saudi National (MOE) curriculum.,135,72,2025-11-16
SUB00150,Religious Studies,Humanities & Social Sciences,3,Saudi National (MOE),Religious Studies for Grade 3 in the Saudi National (MOE) curriculum.,68,78,2025-11-16
SUB00151,Islamic Studies,Humanities & Social Sciences,3,Saudi National (MOE),Islamic Studies for Grade 3 in the Saudi National (MOE) curriculum.,164,23,2025-11-16
SUB00152,Art,Arts & Design,3,Saudi National (MOE),Art for Grade 3 in the Saudi National (MOE) curriculum.,246,3,2025-11-16
SUB00153,Music,Arts & Design,3,Saudi National (MOE),Music for Grade 3 in the Saudi National (MOE) curriculum.,249,18,2025-11-16
SUB00154,Drama,Arts & Design,3,Saudi National (MOE),Drama for Grade 3 in the Saudi National (MOE) curriculum.,494,4,2025-11-16
SUB00155,Film Studies,Arts & Design,3,Saudi National (MOE),Film Studies for Grade 3 in the Saudi National (MOE) curriculum.,567,54,2025-11-16
SUB00156,Design & Technology,Arts & Design,3,Saudi National (MOE),Design & Technology for Grade 3 in the Saudi National (MOE) curriculum.,286,30,2025-11-16
SUB00157,Architecture,Arts & Design,3,Saudi National (MOE),Architecture for Grade 3 in the Saudi National (MOE) curriculum.,366,44,2025-11-16
SUB00158,Calligraphy,Arts & Design,3,Saudi National (MOE),Calligraphy for Grade 3 in the Saudi National (MOE) curriculum.,544,41,2025-11-16
SUB00159,Fashion Design,Arts & Design,3,Saudi National (MOE),Fashion Design for Grade 3 in the Saudi National (MOE) curriculum.,317,33,2025-11-16
SUB00160,Home Economics,Arts & Design,3,Saudi National (MOE),Home Economics for Grade 3 in the Saudi National (MOE) curriculum.,348,51,2025-11-16
SUB00161,Physical Education,Physical & Health,3,Saudi National (MOE),Physical Education for Grade 3 in the Saudi National (MOE) curriculum.,162,64,2025-11-16
SUB00162,Health Education,Physical & Health,3,Saudi National (MOE),Health Education for Grade 3 in the Saudi National (MOE) curriculum.,347,47,2025-11-16
SUB00163,Nutrition & Fitness,Physical & Health,3,Saudi National (MOE),Nutrition & Fitness for Grade 3 in the Saudi National (MOE) curriculum.,586,23,2025-11-16
SUB00164,Sports Science,Physical & Health,3,Saudi National (MOE),Sports Science for Grade 3 in the Saudi National (MOE) curriculum.,440,53,2025-11-16
SUB00165,First Aid & Public Safety,Physical & Health,3,Saudi National (MOE),First Aid & Public Safety for Grade 3 in the Saudi National (MOE) curriculum.,303,58,2025-11-16
SUB00166,Automotive Mechanics,Vocational & Technical,3,Saudi National (MOE),Automotive Mechanics for Grade 3 in the Saudi National (MOE) curriculum.,349,13,2025-11-16
SUB00167,Electrical Studies,Vocational & Technical,3,Saudi National (MOE),Electrical Studies for Grade 3 in the Saudi National (MOE) curriculum.,199,22,2025-11-16
SUB00168,Carpentry,Vocational & Technical,3,Saudi National (MOE),Carpentry for Grade 3 in the Saudi National (MOE) curriculum.,107,12,2025-11-16
SUB00169,Plumbing,Vocational & Technical,3,Saudi National (MOE),Plumbing for Grade 3 in the Saudi National (MOE) curriculum.,484,13,2025-11-16
SUB00170,Hospitality,Vocational & Technical,3,Saudi National (MOE),Hospitality for Grade 3 in the Saudi National (MOE) curriculum.,181,73,2025-11-16
SUB00171,Entrepreneurship,Vocational & Technical,3,Saudi National (MOE),Entrepreneurship for Grade 3 in the Saudi National (MOE) curriculum.,256,3,2025-11-16
SUB00172,Marketing,Vocational & Technical,3,Saudi National (MOE),Marketing for Grade 3 in the Saudi National (MOE) curriculum.,59,3,2025-11-16
SUB00173,Accounting,Vocational & Technical,3,Saudi National (MOE),Accounting for Grade 3 in the Saudi National (MOE) curriculum.,96,14,2025-11-16
SUB00174,Agriculture,Vocational & Technical,3,Saudi National (MOE),Agriculture for Grade 3 in the Saudi National (MOE) curriculum.,441,60,2025-11-16
SUB00175,Mathematics,STEM,4,Saudi National (MOE),Mathematics for Grade 4 in the Saudi National (MOE) curriculum.,428,33,2025-11-16
SUB00176,Advanced Mathematics,STEM,4,Saudi National (MOE),Advanced Mathematics for Grade 4 in the Saudi National (MOE) curriculum.,337,72,2025-11-16
SUB00177,Physics,STEM,4,Saudi National (MOE),Physics for Grade 4 in the Saudi National (MOE) curriculum.,51,58,2025-11-16
SUB00178,Chemistry,STEM,4,Saudi National (MOE),Chemistry for Grade 4 in the Saudi National (MOE) curriculum.,246,78,2025-11-16
SUB00179,Biology,STEM,4,Saudi National (MOE),Biology for Grade 4 in the Saudi National (MOE) curriculum.,378,7,2025-11-16
SUB00180,Computer Science,STEM,4,Saudi National (MOE),Computer Science for Grade 4 in the Saudi National (MOE) curriculum.,486,21,2025-11-16
SUB00181,Statistics,STEM,4,Saudi National (MOE),Statistics for Grade 4 in the Saudi National (MOE) curriculum.,141,73,2025-11-16
SUB00182,Robotics,STEM,4,Saudi National (MOE),Robotics for Grade 4 in the Saudi National (MOE) curriculum.,77,34,2025-11-16
SUB00183,Engineering Fundamentals,STEM,4,Saudi National (MOE),Engineering Fundamentals for Grade 4 in the Saudi National (MOE) curriculum.,483,41,2025-11-16
SUB00184,Environmental Science,STEM,4,Saudi National (MOE),Environmental Science for Grade 4 in the Saudi National (MOE) curriculum.,122,3,2025-11-16
SUB00185,Earth Science,STEM,4,Saudi National (MOE),Earth Science for Grade 4 in the Saudi National (MOE) curriculum.,186,19,2025-11-16
SUB00186,Agriculture Technology,STEM,4,Saudi National (MOE),Agriculture Technology for Grade 4 in the Saudi National (MOE) curriculum.,240,38,2025-11-16
SUB00187,Technical Drawing,STEM,4,Saudi National (MOE),Technical Drawing for Grade 4 in the Saudi National (MOE) curriculum.,51,65,2025-11-16
SUB00188,Arabic,Language & Literature,4,Saudi National (MOE),Arabic for Grade 4 in the Saudi National (MOE) curriculum.,564,20,2025-11-16
SUB00189,English,Language & Literature,4,Saudi National (MOE),English for Grade 4 in the Saudi National (MOE) curriculum.,101,31,2025-11-16
SUB00190,French,Language & Literature,4,Saudi National (MOE),French for Grade 4 in the Saudi National (MOE) curriculum.,388,45,2025-11-16
SUB00191,Spanish,Language & Literature,4,Saudi National (MOE),Spanish for Grade 4 in the Saudi National (MOE) curriculum.,540,48,2025-11-16
SUB00192,German,Language & Literature,4,Saudi National (MOE),German for Grade 4 in the Saudi National (MOE) curriculum.,583,38,2025-11-16
